"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Tackles","","Tackles for Loss","","","Sacks","","","","Pass Breakups","Forced Fumbles","QB Hurries","Blocked Kicks"
"","","","","","","Unassisted","Assisted","Unassisted","Assisted","Yards","Unassisted","Assisted","Yards","No.","No.","No.","No."
"721","Air Force","08/30/08","32","ALTMAN","HUNTER","2","1","","","","","","","","","",""
"721","Air Force","09/06/08","32","ALTMAN","HUNTER","1","1","","","","","","","","","",""
"721","Air Force","09/13/08","32","ALTMAN","HUNTER","5","2","","","","","","","1","","",""
"721","Air Force","09/20/08","32","ALTMAN","HUNTER","8","4","2","0","2","","","","1","","",""
"721","Air Force","10/04/08","32","ALTMAN","HUNTER","8","5","","","","","","","","","",""
"721","Air Force","10/11/08","32","ALTMAN","HUNTER","4","3","0","1","2","0","1","2","","","",""
"721","Air Force","10/18/08","32","ALTMAN","HUNTER","7","1","","","","","","","","","",""
"721","Air Force","10/23/08","32","ALTMAN","HUNTER","2","2","0","1","2","0","1","2","","","",""
"721","Air Force","11/01/08","32","ALTMAN","HUNTER","4","4","2","0","7","","","","","","",""
"721","Air Force","11/08/08","32","ALTMAN","HUNTER","4","1","1","0","7","1","0","7","","","",""
"721","Air Force","11/15/08","32","ALTMAN","HUNTER","3","4","1","0","10","1","0","10","","","",""
"721","Air Force","11/22/08","32","ALTMAN","HUNTER","4","2","1","0","1","","","","","","",""
"721","Air Force","12/31/08","32","ALTMAN","HUNTER","5","1","","","","","","","","","",""
"721","Air Force","11/22/08","96","ARNDT","ALEXANDER","1","0","1","0","1","","","","","","",""
"721","Air Force","09/20/08","21","ATRICE","STEPHAN","1","0","","","","","","","","","",""
"721","Air Force","10/11/08","21","ATRICE","STEPHAN","1","0","","","","","","","","","",""
"721","Air Force","10/18/08","21","ATRICE","STEPHAN","1","0","","","","","","","","","",""
"721","Air Force","10/11/08","55","BRYANT","CLAY","1","0","","","","","","","","","",""
"721","Air Force","10/23/08","55","BRYANT","CLAY","1","2","","","","","","","","1","",""
"721","Air Force","11/15/08","55","BRYANT","CLAY","1","0","","","","","","","","","",""
"721","Air Force","12/31/08","55","BRYANT","CLAY","2","0","","","","","","","","","",""
"721","Air Force","09/06/08","22","BYRD-FULBRIGHT","BRENTON","2","1","","","","","","","","","",""
"721","Air Force","09/13/08","22","BYRD-FULBRIGHT","BRENTON","2","0","","","","","","","","","",""
"721","Air Force","10/11/08","22","BYRD-FULBRIGHT","BRENTON","","","","","","","","","1","","",""
"721","Air Force","10/23/08","22","BYRD-FULBRIGHT","BRENTON","0","1","","","","","","","","","",""
"721","Air Force","09/06/08","57","CHARLES","NICK","1","0","","","","","","","","","",""
"721","Air Force","08/30/08","89","CONNOR","BRADLEY","1","0","","","","","","","","","",""
"721","Air Force","08/30/08","74","DARDEN","CHASE","1","0","1","0","5","","","","","","",""
"721","Air Force","09/06/08","16","DAVIS","JON","0","1","","","","","","","","","",""
"721","Air Force","09/13/08","16","DAVIS","JON","2","0","","","","","","","","","",""
"721","Air Force","11/22/08","16","DAVIS","JON","1","0","","","","","","","","","",""
"721","Air Force","12/31/08","16","DAVIS","JON","1","0","","","","","","","","1","",""
"721","Air Force","10/11/08","45","FALGOUT","JOHN","1","0","1","0","3","","","","1","","",""
"721","Air Force","10/18/08","45","FALGOUT","JOHN","0","1","","","","","","","","","",""
"721","Air Force","11/15/08","45","FALGOUT","JOHN","1","0","","","","","","","","","",""
"721","Air Force","11/22/08","45","FALGOUT","JOHN","1","0","","","","","","","","","",""
"721","Air Force","12/31/08","45","FALGOUT","JOHN","1","0","","","","","","","","","",""
"721","Air Force","08/30/08","93","GARLAND","BEN","1","2","","","","","","","","1","",""
"721","Air Force","09/06/08","93","GARLAND","BEN","1","4","0","1","1","0","1","1","","","",""
"721","Air Force","09/13/08","93","GARLAND","BEN","","","","","","","","","1","","",""
"721","Air Force","09/20/08","93","GARLAND","BEN","2","2","1","0","1","","","","","1","",""
"721","Air Force","10/04/08","93","GARLAND","BEN","1","0","","","","","","","","","",""
"721","Air Force","10/11/08","93","GARLAND","BEN","2","1","1","0","2","1","0","2","","","",""
"721","Air Force","10/18/08","93","GARLAND","BEN","2","0","2","0","10","","","","","","",""
"721","Air Force","10/23/08","93","GARLAND","BEN","0","1","","","","","","","","","",""
"721","Air Force","11/01/08","93","GARLAND","BEN","3","4","1","0","4","1","0","4","","","",""
"721","Air Force","11/08/08","93","GARLAND","BEN","1","4","","","","","","","","","",""
"721","Air Force","11/15/08","93","GARLAND","BEN","0","3","0","1","0","","","","1","","",""
"721","Air Force","11/22/08","93","GARLAND","BEN","2","0","1","0","6","1","0","6","","","",""
"721","Air Force","12/31/08","93","GARLAND","BEN","0","3","0","1","4","0","1","4","","","",""
"721","Air Force","10/18/08","4","HALDERMAN","KYLE","0","1","","","","","","","","","",""
"721","Air Force","11/15/08","4","HALDERMAN","KYLE","0","1","","","","","","","","","",""
"721","Air Force","10/11/08","13","HARRISON","RYAN","1","0","","","","","","","","","",""
"721","Air Force","08/30/08","44","HENNESSEY","PATRICK","1","0","","","","","","","","","",""
"721","Air Force","09/06/08","44","HENNESSEY","PATRICK","0","1","","","","","","","","","",""
"721","Air Force","09/13/08","44","HENNESSEY","PATRICK","1","0","","","","","","","","","",""
