"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Rushing","","","","","Passing","","","","","","Total Off.","","Receiving","","","Pass Int","","","Fumble Ret","","","Punting","","Punt Ret","","","KO Ret","","","Total TD","Off xpts","","","","Def xpts","","","","FG","","Saf","Points"
"","","","","","","Rushes","Gain","Loss","Net","TD","Att","Cmp","Int","Yards","TD","Conv","Plays","Yards","No.","Yards","TD","No.","Yards","TD","No.","Yards","TD","No.","Yards","No.","Yards","TD","No.","Yards","TD","","Kicks Att","Kicks Made","R/P Att","R/P Made","Kicks Att","Kicks Made","Int/Fum Att","Int/Fum Made","Att","Made"
"721","Air Force","09/04/10","41","AMACK","BRADY","","","","","","","","","","","","0","0","","","","1","50","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/04/10","97","BARTHOLOMEW","KEIL","","","","","","","","","","","","0","0","","","","","","","","","","2","90","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/11/10","97","BARTHOLOMEW","KEIL","","","","","","","","","","","","0","0","","","","","","","","","","4","166","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/18/10","97","BARTHOLOMEW","KEIL","","","","","","","","","","","","0","0","","","","","","","","","","2","79","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/02/10","97","BARTHOLOMEW","KEIL","","","","","","","","","","","","0","0","","","","","","","","","","6","233","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/09/10","97","BARTHOLOMEW","KEIL","","","","","","","","","","","","0","0","","","","","","","","","","2","95","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/16/10","97","BARTHOLOMEW","KEIL","","","","","","","","","","","","0","0","","","","","","","","","","3","125","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/23/10","97","BARTHOLOMEW","KEIL","","","","","","","","","","","","0","0","","","","","","","","","","1","42","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/06/10","97","BARTHOLOMEW","KEIL","","","","","","","","","","","","0","0","","","","","","","","","","2","76","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/13/10","97","BARTHOLOMEW","KEIL","","","","","","","","","","","","0","0","","","","","","","","","","2","78","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/18/10","97","BARTHOLOMEW","KEIL","","","","","","","","","","","","0","0","","","","","","","","","","1","44","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","12/27/10","97","BARTHOLOMEW","KEIL","","","","","","","","","","","","0","0","","","","","","","","","","3","103","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/04/10","94","BELL","ZACK","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","1","0","0","0","","","","","","","","0"
