"Institution ID","Institution","Game Date","Opponent ID","Opponent Name","Score For","Score Against","Location"
"5","Akron","09/05/09","539","Penn St.","7","31","Away"
"5","Akron","09/12/09","446","Morgan St.","41","0","Home"
"5","Akron","09/19/09","306","Indiana","21","38","Home"
"5","Akron","09/26/09","129","Central Mich.","21","48","Away"
"5","Akron","10/10/09","519","Ohio","7","19","Home"
"5","Akron","10/17/09","86","Buffalo","17","21","Away"
"5","Akron","10/24/09","688","Syracuse","14","28","Away"
"5","Akron","10/31/09","503","Northern Ill.","10","27","Away"
"5","Akron","11/07/09","331","Kent St.","28","20","Home"
"5","Akron","11/13/09","690","Temple","17","56","Home"
"5","Akron","11/20/09","71","Bowling Green","20","36","Away"
"5","Akron","11/27/09","204","Eastern Mich.","28","21","Home"
"8","Alabama","09/05/09","742","Virginia Tech","34","24","Away"
"8","Alabama","09/12/09","231","FIU","40","14","Home"
"8","Alabama","09/19/09","497","North Texas","53","7","Home"
"8","Alabama","09/26/09","31","Arkansas","35","7","Home"
"8","Alabama","10/03/09","334","Kentucky","38","20","Away"
"8","Alabama","10/10/09","433","Mississippi","22","3","Away"
"8","Alabama","10/17/09","648","South Carolina","20","6","Home"
"8","Alabama","10/24/09","694","Tennessee","12","10","Home"
"8","Alabama","11/07/09","365","LSU","24","15","Home"
"8","Alabama","11/14/09","430","Mississippi St.","31","3","Away"
"8","Alabama","11/21/09","693","Chattanooga","45","0","Home"
"8","Alabama","11/27/09","37","Auburn","26","21","Away"
"8","Alabama","12/05/09","235","Florida","32","13","Neutral Site"
"8","Alabama","01/07/10","703","Texas","37","21","Neutral Site"
"9","UAB","09/05/09","574","Rice","44","24","Home"
"9","UAB","09/12/09","663","SMU","33","35","Home"
"9","UAB","09/19/09","716","Troy","14","27","Away"
"9","UAB","09/26/09","697","Texas A&M","19","56","Away"
"9","UAB","10/01/09","664","Southern Miss.","30","17","Home"
"9","UAB","10/17/09","433","Mississippi","13","48","Away"
"9","UAB","10/24/09","388","Marshall","7","27","Away"
"9","UAB","10/31/09","704","UTEP","38","33","Away"
"9","UAB","11/07/09","229","Fla. Atlantic","56","29","Home"
"9","UAB","11/14/09","404","Memphis","31","21","Away"
"9","UAB","11/21/09","196","East Carolina","21","37","Away"
"9","UAB","11/28/09","128","UCF","27","34","Home"
"28","Arizona St.","09/05/09","294","Idaho St.","50","3","Home"
"28","Arizona St.","09/19/09","498","La.-Monroe","38","14","Home"
"28","Arizona St.","09/26/09","257","Georgia","17","20","Away"
"28","Arizona St.","10/03/09","528","Oregon St.","17","28","Home"
"28","Arizona St.","10/10/09","754","Washington St.","27","14","Away"
"28","Arizona St.","10/17/09","756","Washington","24","17","Home"
"28","Arizona St.","10/24/09","674","Stanford","14","33","Away"
"28","Arizona St.","10/31/09","107","California","21","23","Home"
"28","Arizona St.","11/07/09","657","Southern California","9","14","Home"
"28","Arizona St.","11/14/09","529","Oregon","21","44","Away"
"28","Arizona St.","11/21/09","110","UCLA","13","23","Away"
"28","Arizona St.","11/28/09","29","Arizona","17","20","Home"
"29","Arizona","09/05/09","129","Central Mich.","19","6","Home"
"29","Arizona","09/12/09","501","Northern Ariz.","34","17","Home"
"29","Arizona","09/19/09","312","Iowa","17","27","Away"
"29","Arizona","09/26/09","528","Oregon St.","37","32","Away"
"29","Arizona","10/10/09","756","Washington","33","36","Away"
"29","Arizona","10/17/09","674","Stanford","43","38","Home"
"29","Arizona","10/24/09","110","UCLA","27","13","Home"
"29","Arizona","11/07/09","754","Washington St.","48","7","Home"
"29","Arizona","11/14/09","107","California","16","24","Away"
"29","Arizona","11/21/09","529","Oregon","41","44","Home"
"29","Arizona","11/28/09","28","Arizona St.","20","17","Away"
"29","Arizona","12/05/09","657","Southern California","21","17","Away"
"29","Arizona","12/30/09","463","Nebraska","0","33","Away"
"30","Arkansas St.","09/05/09","432","Mississippi Val.","61","0","Home"
"30","Arkansas St.","09/12/09","463","Nebraska","9","38","Away"
"30","Arkansas St.","09/26/09","716","Troy","27","30","Home"
"30","Arkansas St.","10/03/09","312","Iowa","21","24","Away"
"30","Arkansas St.","10/13/09","498","La.-Monroe","10","16","Away"
"30","Arkansas St.","10/24/09","231","FIU","27","10","Home"
"30","Arkansas St.","10/31/09","367","Louisville","13","21","Away"
"30","Arkansas St.","11/07/09","671","La.-Lafayette","18","21","Home"
"30","Arkansas St.","11/14/09","229","Fla. Atlantic","18","35","Away"
"30","Arkansas St.","11/21/09","419","Middle Tenn.","14","38","Away"
"30","Arkansas St.","11/28/09","497","North Texas","30","26","Home"
"30","Arkansas St.","12/03/09","772","Western Ky.","24","20","Away"
"31","Arkansas","09/05/09","669","Missouri St.","48","10","Home"
"31","Arkansas","09/19/09","257","Georgia","41","52","Home"
"31","Arkansas","09/26/09","8","Alabama","7","35","Away"
"31","Arkansas","10/03/09","697","Texas A&M","47","19","Neutral Site"
"31","Arkansas","10/10/09","37","Auburn","44","23","Home"
"31","Arkansas","10/17/09","235","Florida","20","23","Away"
"31","Arkansas","10/24/09","433","Mississippi","17","30","Away"
"31","Arkansas","10/31/09","204","Eastern Mich.","63","27","Home"
"31","Arkansas","11/07/09","648","South Carolina","33","16","Home"
"31","Arkansas","11/14/09","716","Troy","56","20","Home"
"31","Arkansas","11/21/09","430","Mississippi St.","42","21","Home"
"31","Arkansas","11/28/09","365","LSU","30","33","Away"
"31","Arkansas","01/02/10","196","East Carolina","20","17","Away"
"37","Auburn","09/05/09","366","Louisiana Tech","37","13","Home"
"37","Auburn","09/12/09","430","Mississippi St.","49","24","Home"
"37","Auburn","09/19/09","768","West Virginia","41","30","Home"
"37","Auburn","09/26/09","47","Ball St.","54","30","Home"
"37","Auburn","10/03/09","694","Tennessee","26","22","Away"
"37","Auburn","10/10/09","31","Arkansas","23","44","Away"
"37","Auburn","10/17/09","334","Kentucky","14","21","Home"
"37","Auburn","10/24/09","365","LSU","10","31","Away"
"37","Auburn","10/31/09","433","Mississippi","33","20","Home"
"37","Auburn","11/07/09","244","Furman","63","31","Home"
"37","Auburn","11/14/09","257","Georgia","24","31","Away"
"37","Auburn","11/27/09","8","Alabama","21","26","Home"
"37","Auburn","01/01/10","509","Northwestern","38","35","Neutral Site"
"47","Ball St.","09/03/09","497","North Texas","10","20","Home"
"47","Ball St.","09/12/09","469","New Hampshire","16","23","Home"
"47","Ball St.","09/19/09","725","Army","17","24","Away"
"47","Ball St.","09/26/09","37","Auburn","30","54","Away"
"47","Ball St.","10/03/09","709","Toledo","30","37","Home"
"47","Ball St.","10/10/09","690","Temple","19","24","Away"
"47","Ball St.","10/17/09","71","Bowling Green","17","31","Home"
"47","Ball St.","10/24/09","204","Eastern Mich.","29","27","Away"
"47","Ball St.","10/31/09","519","Ohio","17","20","Home"
"47","Ball St.","11/12/09","503","Northern Ill.","20","26","Away"
"47","Ball St.","11/18/09","129","Central Mich.","3","35","Home"
"47","Ball St.","11/24/09","774","Western Mich.","22","17","Away"
"51","Baylor","09/05/09","749","Wake Forest","24","21","Away"
"51","Baylor","09/19/09","164","Connecticut","22","30","Home"
"51","Baylor","09/26/09","508","Northwestern St.","68","13","Home"
"51","Baylor","10/03/09","331","Kent St.","31","15","Home"
"51","Baylor","10/10/09","522","Oklahoma","7","33","Away"
"51","Baylor","10/17/09","311","Iowa St.","10","24","Away"
"51","Baylor","10/24/09","521","Oklahoma St.","7","34","Home"
"51","Baylor","10/31/09","463","Nebraska","10","20","Home"
"51","Baylor","11/07/09","434","Missouri","40","32","Away"
"51","Baylor","11/14/09","703","Texas","14","47","Home"
"51","Baylor","11/21/09","697","Texas A&M","3","38","Away"
"51","Baylor","11/28/09","700","Texas Tech","13","20","Neutral Site"
"66","Boise St.","09/03/09","529","Oregon","19","8","Home"
"66","Boise St.","09/12/09","414","Miami (OH)","48","0","Home"
"66","Boise St.","09/18/09","96","Fresno St.","51","34","Away"
"66","Boise St.","09/26/09","71","Bowling Green","49","14","Away"
"66","Boise St.","10/03/09","108","UC Davis","34","16","Home"
"66","Boise St.","10/14/09","719","Tulsa","28","21","Away"
"66","Boise St.","10/24/09","277","Hawaii","54","9","Away"
"66","Boise St.","10/31/09","630","San Jose St.","45","7","Home"
"66","Boise St.","11/06/09","366","Louisiana Tech","45","35","Away"
"66","Boise St.","11/14/09","295","Idaho","63","25","Home"
"66","Boise St.","11/20/09","731","Utah St.","52","21","Away"
"66","Boise St.","11/27/09","466","Nevada","44","33","Home"
"66","Boise St.","12/05/09","472","New Mexico St.","42","7","Home"
"66","Boise St.","01/04/10","698","TCU","17","10","Away"
